URI,ImageWidth,Type,Priority,Caption,Taxon,Character,State
# 'Words' character help images,,,,,,,
resources/BourbonTop.jpg,100%,image-local,,Words on the top of a Bourbon,,Words,
# 'FillingColour' character state help,,,,,,,
resources/CusCreamFilling.jpg,100%,image-local,,The filling of a Custard Cream    ,,FillingColour,White
resources/CusCreamXSection.jpg,100%,image-local,,White filling in a Custard Cream    ,,FillingColour,White
resources/BourbonFilling.jpg,100%,image-local,,The filling inside a Bourbon   ,,FillingColour,Dark brown
resources/BourbonXSection.jpg,100%,image-local,,Dark brown filling in a Bourbon,,FillingColour,Dark brown
resources/JSCreamXSection.jpg,100%,image-local,2,White and red filling in a Jam Sandwich Cream    ,,FillingColour,White and red
resources/HappyFaceFilling.jpg,100%,image-local,1,White and red filling inside a Happy Face    ,,FillingColour,White and red
# Taxon images...,,,,,,,
resources/MCC1.jpg,100%,image-local,,A photo showing a top down view of a Choc Chip Cookie    ,Choc Chip Cookie,,
resources/MCC2.jpg,100%,image-local,,A photo showing an oblique view of a Choc Chip Cookie    ,Choc Chip Cookie,,
# Taxon HTML files…,,,,,,,
resources/DigestivesHist.htm,,html-local,2,History of the Digestive ,Milk Chocolate Digestive,,
resources/DigestivesRecipe.htm,,html-local,1,Recipe for a Digestive,Milk Chocolate Digestive,,
resources/Bourbon.htm,,html-local,,About the Bourbon biscuit,Bourbon Cream,,
,,,,,,,
# Shape character state  help images,,,,,,,
resources/MCC1.jpg,100%,image-local,,A round Choc Chip Cookie    ,,Shape,Round
resources/MCFingerTop.jpg,100%,image-local,,Top down view of a Milk Chocolate Finger    ,,Shape,Cigar
resources/CusCreamTop.jpg,100%,image-local,,A rectangular Custard Cream    ,,Shape,Rectangular
,,,,,,,
# Pattern character state help,,,,,,,
resources/CusCreamTop.jpg,100%,image-local,,Pattern on a Custard Cream    ,,Pattern,Yes
resources/RomanyCreamTop.jpg,100%,image-local,,Pattern on a Romany Vanilla Cream    ,,Pattern,Yes
resources/ShortcakeTopClose.jpg,100%,image-local,,Pattern on a Shortcake,,Pattern,Yes
resources/BourbonTop.jpg,100%,image-local,,No pattern on top of a Bourbon,,Pattern,No
,,,,,,,
# BiscuitColour charcter state help,,,,,,,
resources/MCC1.jpg,100%,image-local,,Pale brown Choc Chip Cookie    ,,BiscuitColour,Pale brown
