URI,ImageWidth,Type,Priority,Caption,Taxon,Character,State,UseFor,TipStyle
#resources/charlie-bell/saddle.png,100%,image-local,,Schematic image of a harvestman's 'saddle'.,,Saddle,,,left-40
resources/paul-richards/Leiobunum blackwalli 7 female.jpg,100%,image-local,,An example of a harvestman with a distinct saddle - a female <i>Leiobunum blackwalli</i> &copy; Paul Richards.,,Saddle,distinct,,
resources/paul-richards/Opilio parietinus 7.jpg,100%,image-local,,An example of a harvestman with an indistinct saddle. <i>Opilio parietinus</i>  &copy; Paul Richards,,Saddle,indistinct,,
resources/paul-richards/Leiobunum blackwalli 3 male.jpg,100%,image-local,,An example of a harvestman with no discerniable saddle. Male <i>Leiobunum blackwalli</i> &copy; Paul Richards.,,Saddle,no,,
resources/paul-richards/Oligolophus tridens 6.jpg,100%,image-local,,An example of a truncated saddle. <i>Oligolophus tridens</i>  &copy; Paul Richards.,,SaddleTruncated,yes,,
resources/paul-richards/Mitopus morio 14.jpg,100%,image-local,,An example of a saddle that is not truncated. <i>Mitopus morio</i>  &copy; Paul Richards.,,SaddleTruncated,no,,
resources/paul-richards/Leiobunum blackwalli 1 male.jpg,100%,image-local,,Male <i>Leiobunum blackwalli</i> showing very clear pale eye rings. &copy; Paul Richards.,,OculariumEyeRings,yes,,
resources/paul-richards/Leiobunum rotundum 9 juvenile eye.jpg,100%,image-local,,Juvenile <i>Leiobunum rotundum</i> showing the dark eye rings separated by a pale mid-line that is common in this species &copy; Paul Richards.,,OculariumEyeRings,no,,
resources/paul-richards/Trogulus tricarinatus 1.jpg,100%,image-local,,Side shot of <i>Trogulus tricarinatus</i>  showing dorso-ventral (top to bottom) flattening of the body &copy; Paul Richards.,,BodyFlattened,yes,,
resources/paul-richards/Opilio parietinus 14 male.jpg,100%,image-local,,Side shot of <i>Opilio parietinus</i> with the rounded body typical of most harvestman  &copy; Paul Richards.,,BodyFlattened,no,,
resources/paul-richards/Oligolophus tridens 4.jpg,100%,image-local,,<i>Oligolophus tridens</i> showing pinched 'waist' on saddle &copy; Paul Richards.,,SaddleShape,waisted,,
resources/paul-richards/Mitopus morio 1.jpg,100%,image-local,,<i>Mitopus morio</i> var <i>morio</i> showing a double-pinched 'waist' of saddle  &copy; Paul Richards.,,SaddleShape,double-waisted,,
resources/paul-richards/Odiellus spinosus 1.jpg,100%,image-local,,The more or less straight-sided saddle of <i>Odiellus spinosus</i>  &copy; Paul Richards.,,SaddleShape,straight-sided,,
resources/paul-richards/Leiobunum blackwalli 7 female.jpg,100%,image-local,,The distinctly triangular-shaped saddle of a female <i>Leiobunum blackwalli</i> &copy; Paul Richards.,,SaddleShape,triangular,,
resources/paul-richards/Homalenotus quadridentatus 5.jpg,100%,image-local,,The saddle of <i>Homalenotus quadridentatus</i> is composed of dark spots &copy; Paul Richards.,,SaddleShape,paired dark spots,,
resources/paul-richards/Opilio saxatilis 7 female.jpg,100%,image-local,,Female <i>Opilio saxatilis</i> showing a central longitudinal pale stripe up the saddle &copy; Paul Richards.,,CentralStripe,yes,,
resources/burkmar/swollen-tubercles.jpg,100%,image-local,,Dorsal tubercles with swollen ends belonging to <i>Mitostoma chrysomelas</i> (left) and <i>Nemastomella bacillifera</i> (right) &copy; Richard Burkmar.,,DorsalTubecleEndsSwollen,,,
#resources/paul-richards/Paroligolophus meadii 4 male.jpg,100%,image-local,,The very consipicuous white tubercles on the body of a male <i>Paroligolophus meadii</i>  &copy; Paul Richards.,,DorsalArmature,,,
resources/paul-richards/Odiellus spinosus 9 female trident ocularium.jpg,100%,image-local,,The exceptionally robust trident of a female <i>Odiellus spinosus</i>  &copy; Paul Richards.,,HeadProjections,conspicuous trident,,
resources/paul-richards/Oligolophus hanseni 10 trident.jpg,100%,image-local,,The trident of <i>Oligolophus hanseni</i> is relatively inconspicuous to the naked eye (though it is usually very obvious under a hand lens).,,HeadProjections,inconspicuous trident,,
resources/paul-richards/Opilio parietinus 16 front armature.jpg,100%,image-local,,These tubercles at the leading edge of the cepahlothorax in <i>Opilio parietinus</i> can't be described as a trident because there are no tubercles on the mid-line.,,HeadProjections,small tubercles,,
