Taxon,Family,SubFamily,Genus,TVK,Niche,Synanthropic,AdultSeason,MonthRange,PeakMonth,Sex,MaxBodyLength,BodyLength,MaleBodyLength,FemaleBodyLength,BodyFlattened,Saddle,SaddleShape,SaddleTruncated,SaddleMarkings,CentralStripe,GranularAppearance,OtherMarkings,DorsalTubercleRows,DorsalTubecleEndsSwollen,DorsalTubercleOther,HeadProjections,TypeOfSmallHeadTubercles,TridentOrientation,TridentMemberLength,TridentAdditionalTubercles,TridentOther,OculariumPresence,OculariumEyeRings,OculariumAspectRatio,OculariumArmatureArrangement,OculariumArmatureRowTubercle,OculariumArmatureTubercleType,OculariumArmatureType,OculariumTubercleEnd,OculariumArmatureSize,OculariumOther,PalpClaw,PalpTarsusLength,PalpTibiaApophysis,PalpPatellaApophysis,PalpFemurApophysis,PalpVentralFemurTubercles,PalpKnobbedHairs,PalpOther,CheliceraSpur,CheliceraProjections,SupraCheliceralProjections,LegsRelativeLength,LegsLength1And2,Leg2Length,LegsColour,LegsAnnulations,LegsBodyColourContrast,LegsCoxaMarkings,LegsTrochanterMarkings,LegsArmature,LegsFemurArmature,LegsDistalLegSpines,LegsOther,LegsFemurSection,LegsPatellaSection,LegsTibiaSection
Nemastoma bimaculatum,Nemastomatidae,,Nemastoma,NBNSYS0000013844,ground,no,spring| summer| autumn| winter,[jan-dec],sep,male | female,3,[2.0-2.8],[2.0-2.5],[2.3-2.8],no,no,n/a,n/a,n/a,no,yes,all black with two pale patches,none,n/a,,none,n/a,n/a,n/a,n/a,n/a,present,no,much wider than long,irregular,n/a,small spines,spines,n/a,small,,none,shorter,none,none,none,absent,yes,,absent,none visible (f)| forward  projection on basal segment (m),none,short,clearly longer than body,[5.5-8.5],legs completely black,none,same,none,none,,weak,no,,round,round,?
Mitostoma chrysomelas,Nemastomatidae,,Mitostoma,NBNSYS0000013845,ground,no,spring| summer| autumn| winter,[mar-jan],sep,male | female,2.5,[1.5-2.5],[1.5-1.8],[1.8-2.5],no,no,n/a,n/a,n/a,no,no,conspicuous transverse banding,conspicuous,yes,,none,n/a,n/a,n/a,n/a,n/a,present,no,slightly wider than long,two rows,n/a,broad topped tubercles,tubercles,swollen,moderate,,none,shorter,none,none,none,absent,yes,very long segments ,absent,none visible (f)| forward  projection on basal segment (m),none,long,clearly longer than body,[13-18],pale trochanters darker towards darker legs,none,same,none,"pale, darker towards legs",,weak,no,,round,round,?
Nemastomella bacillifera,Nemastomatidae,,Nemastomella,NHMSYS0001590852,ground,yes,autumn,jun,jun,male | female,2.5,[1.7-2.3],[1.7-2.0],[2.0-2.3],no,no,n/a,n/a,n/a,no,no,,very conspicuous,yes,extremely long,none,n/a,n/a,n/a,n/a,n/a,present,no,wider than long,irregular,n/a,small spines,spines,n/a,small,,none,shorter,none,none,none,absent,yes,,absent,none visible (f)| forward  projection on basal segment (m),none,long,clearly longer than body,[10-15],dark trochanters and legs,none,same,none,none,,moderate,no,leg patellas swollen,round,round,?
Trogulus tricarinatus,Trogulidae,,Trogulus,NHMSYS0001590934,ground,no,spring| summer| autumn| winter,?,?,male | female,10,[5.0-10.0],[5.0-8.0],[6.0-10.0],yes,no,n/a,n/a,n/a,no,yes,,none,n/a,,hood,n/a,n/a,n/a,n/a,n/a,absent,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,none,shorter,none,none,none,absent,no,,absent,none visible,none,short,shorter or about as long as body,[7-8],same as body,none,same,none,none,,moderate,no,tarsi of legs 1 and 2 with 2 segments,round,round,?
Anelasmocephalus cambridgei,Trogulidae,,Anelasmocephalus,NBNSYS0000013843,ground,no,spring| summer| autumn| winter,apr,apr,male | female,4,[2.8-4.0],[2.8-3.5],[3.0-4.0],yes,no,n/a,n/a,n/a,no,yes,,none,n/a,,hood,n/a,n/a,n/a,n/a,n/a,absent,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,none,shorter,none,none,none,absent,no,,absent,none visible,none,short,shorter or about as long as body,[3.5-4.5],same as body,none,same,none,none,,strong,no,tarsi of legs 1 and 2 with 3 segments,round,round,?
Sabacon viscayanum ramblaianum,Sabaconidae,,Sabacon,NBNSYS0000033230,ground,no,summer| autumn,[jun-oct],sep,male | female,4.5,[2.5-4.6],[2.5-3.5],[3.4-4.6],no,no,n/a,n/a,n/a,no,no,,conspicuous,no,black spines,none,n/a,n/a,n/a,n/a,n/a,present,no,much wider than long,none,n/a,n/a,n/a,n/a,n/a,Much wider than long,none,shorter,none,none,none,absent,no,tarsus & tibia swollen and hairy,absent,none visible (f)| forward  projection on basal segment (m),none,long,clearly longer than body,[15-20],unremarkable,none,same,none,none,,moderate,no,,round,round,?
Homalenotus quadridentatus,Sclerosomatidae,Sclerosomatinae,Homalenotus,NBNSYS0000013846,ground,no,spring| summer| autumn| winter,[aug-dec],aug,male | female,5,[3.5-5.0],[3.5-4.5],[4.0-5.0],yes,no|indistinct | distinct,paired dark spots,no,,no,yes | no,chequerboard-like pattern,very conspicuous,no,last stout row points backwards,single large spine,n/a,n/a,n/a,n/a,n/a,present,no,slightly longer than wide,two rows,[2-5],irregularly sized tubercles,tubercles,blunt,moderate,Tubercles of various sizes,toothed,longer,none,none,none,small | medium,no,,present,none visible,none,short,shorter or about as long as body,[8-12],same as body,moderate,same,none,none,"prominent tubercles on upper surface of femurs, trochanters and coxae",strong,no,,round,round,?
Oligolophus tridens,Phalangiidae,Oligolophinae,Oligolophus,NHMSYS0001590898,ground| herbaceous,no,summer| autumn,[jul-dec],sep,male | female,5.5,[3.5-5.5],[3.5-4.5],[4.0-5.5],no,indistinct | distinct,waisted | straight-sided,yes | no,,no,no,,inconspicuous | none,no,,inconspicuous trident | conspicuous trident,n/a,near vertical (m) | inclined forward (f),equal (m)| central longest (f),behind,novalue,present,yes | no,about as wide as long,two rows,[4-7],hair-tipped tubercles,tubercles,hair-tipped,moderate,,smooth,longer,none,none,none,small | absent,no,,present,none visible,none,medium,clearly longer than body,[15-20],unremarkable,moderate,same,none,none,,weak,no,,angular,angular,?
Oligolophus hanseni,Phalangiidae,Oligolophinae,Oligolophus,NBNSYS0100004303,shrub/wall,no,summer| autumn| winter,[aug-dec],nov,male | female,5,[3.3-5.0],[3.3-4.0],[3.8-5.0],no,indistinct,waisted,no,bordered by white patches,no,no,,conspicuous,no,small white ringed,inconspicuous trident | conspicuous trident,n/a,near vertical| inclined forward,equal | central longest,behind | behind and to side,members white with black tips,present,no,slightly wider than long,two rows,[4-5],blunt hair-tipped tubercles,tubercles,hair-tipped,moderate,,smooth,longer,none,none,none,small | absent,no,,present,none visible,none,medium,clearly longer than body,[15-18],unremarkable,strong,same,none,none,,weak,no,,round,angular,?
Paroligolophus agrestis,Phalangiidae,Oligolophinae,Paroligolophus,NBNSYS0000013853,herbaceous| shrub/wall,yes,summer| autumn| winter,[jul-mar],sep,male | female,5,[3.0-5.0],[3.0-4.0],[4.0-5.0],no,distinct| indistinct (f),waisted,no,pink-middle,yes | no,no,,none,n/a,,inconspicuous trident,n/a,near vertical| inclined forward,central longest,behind,novalue,present,no,wider than long,irregular,n/a,small hairs,hairs,n/a,small,,smooth,longer,none,none,none,small | absent,no,,present,none visible,none,medium,clearly longer than body,[14-18],pale trochanters darker towards darker legs,none | moderate,same,single brown spot,"pale, darker towards legs",,weak,no,,round,angular,?
