Character,CharacterState,CharacterStateTranslation,StateHelp,StateHelpShort,
Niche,ground,,The harvestman is generally found on the ground.,,
Niche,herbaceous,,The harvestman is generally found on low vegetation.,,
Niche,shrub/wall,,"The harvestman is often found on shrubs, trees, fences, walls etc.",,
AdultSeason,spring,,,,
AdultSeason,summer,,,,
AdultSeason,autumn,,,,
AdultSeason,winter,,,,
Saddle,no,,There is no discernible saddle - though there may well be other dorsal markings on the abdomen. ,,
Saddle,indistinct,,"There is some indication of a saddle, though it not a marked distinction between this and the rest of the abdomen.",,
Saddle,distinct,,There is a distinct saddle marking.,,
SaddleShape,waisted,,"The saddle is pinched in at some point to make it look 'waisted'. For the purposes of this key, a pinch point only counts as a waist if it reduces the maximum width of the saddle by at least one third. In other words, the width of saddle at the the pinched part must be no more than two-thirds the maximum width of the saddle. ",,
SaddleShape,double-waisted,,"The saddle is pinched in a couple of places making it look 'double-waisted'. For the purposes of this key, a pinch point only counts as a waist if it reduces the maximum width of the saddle by at least one third. In other words, the width of saddle at the the pinched part must be no more than two-thirds the maximum width of the saddle. ",,
SaddleShape,straight-sided,,"The saddle is, more or less, straight (and parallel) sided. It may be pinched in, here and there, but the width of the saddle at the pinched point is at least two thirds the maximum width of the saddle.",,
SaddleShape,triangular,triangular - wider at end,"The saddle is, more or less, triangular in shape - being wider at the end.",,
SaddleShape,paired dark spots,,The saddle is mainly comprised of pairs of dark patches or spots.,,
SaddleTruncated,yes,,"The saddle ends abruptly on tergite 5 or (for <i>Leiobunum blackwalli</i> only) tergite 4. If the saddles appears to be truncated, but then carries on beyond this  in some way, e.g. with patches, that does <i>not</i> count as a truncated saddle.",,
SaddleTruncated,no,,"The saddle doesn't end abruptly - either continuing beyond tergite 5, either solidly or in large patches, or fading into the ground colour of the abdomen.",,
SaddleMarkings,dark,,,,
SaddleMarkings,paler down middle,,,,
SaddleMarkings,dark but paler down the middle,,,,
SaddleMarkings,dark but paler down middle and white bordered at the end,,,,
SaddleMarkings,paler down middle and bordered by dark patches,,,,
SaddleMarkings,pink-middle,paler pink down middle with white patches either side at end,,,
SaddleMarkings,dark and outlined in white,,,,
SaddleMarkings,bordered by dark patches,,,,
SaddleMarkings,bordered by white patches,,,,
SaddleMarkings,pale patches at front,,,,
SaddleMarkings,paired transverse fine dark & pale stripes,,,,
HeadProjections,conspicuous trident,,To qualify as a 'trident' there must be at least three closely set  tubercles (the gap between each no more than the width of a tubercle) at the front of the cephalothorax and the middle one of these must be on the mid-line. Note that even a conspicuous trident might be hard to see with the naked eye - a hand lens is sufficient to see it though.,,
HeadProjections,inconspicuous trident,,To qualify as a 'trident' there must be at least three closely set  tubercles (the gap between each no more than the width of a tubercle) at the front of the cephalothorax and the middle one of these must be on the mid-line. Even an inconspicuous trident should be visible with a hand lens.,,
HeadProjections,small tubercles,various tubercles,"Covers a diverse array of tubercles, some quite prominent (e.g. Opilio saxatilis) and some small (e.g. Mitopus morio). Either there is no cluster of three in the centre with one directly on the midline, or they are widely spaced - further apart than the width of a tubercle.",,
HeadProjections,single large spine,,This arrangement is only evident in a single UK species - Homalenotus quadridentus. Do not confuse with tridents that have a longer central member.,,
HeadProjections,hood,,"A hood which, when viewed from above, completely hides the mouthparts.",,
HeadProjections,none,,No discernible tubercles or head projections.,,
TridentOrientation,near vertical,,,,
TridentOrientation,inclined forward,,,,
TridentOrientation,near forward pointing,,,,
TridentMemberLength,equal,,,,
TridentMemberLength,central longest,central slightly longer,,,
TridentMemberLength,central much longer,,,,
TridentAdditionalTubercles,none,,,,
TridentAdditionalTubercles,behind,,,,
TridentAdditionalTubercles,behind and to side,,,,
OculariumPresence,present,,There is an obvious ocularium - a raised turret on top of head on which the two eyes are found. ,,
OculariumPresence,absent,,The eyes are not placed on an ocularium but arise directly from the surface of the cepalothorax.,,
OculariumAspectRatio,much wider than long,,,,
OculariumAspectRatio,wider than long,,,,
OculariumAspectRatio,slightly wider than long,,,,
OculariumAspectRatio,about as wide as long,,,,
OculariumAspectRatio,slightly longer than wide,,,,
OculariumArmatureArrangement,none,,There is no armature on the ocularium.,,
OculariumArmatureArrangement,irregular,,The armature on the ocularium is more or less randomly scattered over ocularium.,,
OculariumArmatureArrangement,two rows,,The armature on the ocularium is arranged in two rows - one associated with each eye.,,
OculariumArmatureTubercleType,none,,There is no armature on the ocularium.,,
OculariumArmatureTubercleType,small hairs,,,,
OculariumArmatureTubercleType,small spines,,,,
OculariumArmatureTubercleType,small hair-tipped tubercles,,,,
OculariumArmatureTubercleType,small blunt tubercles,,,,
OculariumArmatureTubercleType,blunt tubercles,,,,
OculariumArmatureTubercleType,blunt hair-tipped tubercles,,,,
OculariumArmatureTubercleType,hair-tipped tubercles,,,,
OculariumArmatureTubercleType,pointed tubercles,,,,
OculariumArmatureTubercleType,acute black-tipped tubercles,,,,
OculariumArmatureTubercleType,extremely long spines,,,,
OculariumArmatureTubercleType,robust sharp tubercles,,,,
OculariumArmatureTubercleType,prominent tubercles,,,,
OculariumArmatureTubercleType,broad topped tubercles,,,,
OculariumArmatureTubercleType,irregularly sized tubercles,,,,
PalpClaw,none,,There is no claw on the end of the palp.,,
PalpClaw,smooth,,The claw on the end of the palp is smooth.,,
PalpClaw,toothed,,The claw on the end of the palp is pectinate (toothed). You have too look very closely under high magnification to see this feature.,,
